Yil,Bolge,Siddet,Enlem,Boylam
2023,KEPEZ-AKCADAG (MALATYA) [East 1.7 km],4.3,38.3392,37.7633
2023,PASAKONAGI- (DUZCE) [South West  0.9 km],3.4,40.8077,31.0708
2023,AKDENIZ,3.5,35.6422,34.0252
2023,KARAKUYU-SAIMBEYLI (ADANA) [East 1.4 km],4.0,37.8623,36.2185
2023,YIRICEK-GOKSUN (KAHRAMANMARAS) [North West  2.2 km],3.4,38.022,36.4457
2023,HACIKODAL-GOKSUN (KAHRAMANMARAS) [North 2.7 km],3.4,37.9398,36.3083
2023,GOKSUN (KAHRAMANMARAS) [West 2.1 km],3.6,38.0222,36.4708
2023,INCIRLI-NURDAGI (GAZIANTEP) [North East  0.5 km],0.0,37.2617,36.9622
2023,CAGLAYAN-GOKSUN (KAHRAMANMARAS) [South West  1.9 km],4.6,38.0257,36.4547
2023,TEKIR- (KAHRAMANMARAS) [North East  5.1 km],3.5,37.9015,36.6738
2023,KARAOMER-GOKSUN (KAHRAMANMARAS) [South West  4.1 km],3.5,38.0977,36.6538
2023,HACIKODAL-GOKSUN (KAHRAMANMARAS) [South 0.9 km],3.7,37.9078,36.3045
2023,FIDANLI-SAMANDAG (HATAY) [East 0.5 km],4.2,36.1487,36.0303
2023,SIRMALI-GOKSUN (KAHRAMANMARAS) [South East  0.3 km],3.6,37.9577,36.383
2023,KIZILOREN-GURUN (SIVAS) [North East  4.2 km],4.2,38.8183,37.2328
2023,AKDENIZ,4.8,36.3307,26.3623
2023,KADIRUSAGI-YESILYURT (MALATYA) [North East  2.2 km],3.9,38.2487,38.2668
2023,FINDIKLIKOYAK-GOKSUN (KAHRAMANMARAS) [North West  2.8 km],4.4,37.9638,36.423
2023,TOPALLAR-SAIMBEYLI (ADANA) [South West  1.1 km],0.0,37.873,36.267
2023,AGCASAR-NURHAK (KAHRAMANMARAS) [South West  4.3 km],0.0,38.0427,37.3328
2023,SOGUTLU-PUTURGE (MALATYA) [South West  2.9 km],4.0,38.1937,38.6167
2023,CUBUKCU-SAMANDAG (HATAY) [North West  1.4 km],3.5,36.2027,36.0277
2023,POLAT-DOGANSEHIR (MALATYA) [North East  3.0 km],3.5,38.1702,37.885
2023,ATLIKONAK-AZIZIYE (ERZURUM) [North 1.5 km],3.6,39.9268,40.9377
2023,ARITOPRAK-PUTURGE (MALATYA) [South 0.5 km],0.0,38.1818,38.6678
2023,TERZIKOY-GOYNUCEK (AMASYA) [North West  1.3 km],3.8,40.4742,35.6717
2023,YOGUNSOGUT-ELBISTAN (KAHRAMANMARAS) [North West  2.2 km],3.8,38.333,37.5145
2023,TURKIYE-IRAN SINIR BOLGESI,3.7,39.4558,44.4883
2023,ARMUTCUK-ULA (MUGLA) [North West  3.2 km],4.1,37.1182,28.4698
2023,TURKIYE-IRAN SINIR BOLGESI,3.5,39.4385,44.4805
2023,CICEKLI-ULA (MUGLA) [North West  2.8 km],3.9,37.104,28.4697
2023,ARMUTCUK-ULA (MUGLA) [North West  3.0 km],3.6,37.1183,28.4715
2023,YAKINCA-YESILYURT (MALATYA) [North West  0.7 km],3.3,38.3102,38.2345
2023,GOVDELI-DOGANSEHIR (MALATYA) [South West  3.3 km],3.4,37.9988,37.5987
2023,ALINCIK-SIVRICE (ELAZIG) [South West  1.8 km],4.5,38.4555,39.2145
2023,PAYAMBURNU-GOKSUN (KAHRAMANMARAS) [South West  2.8 km],3.7,37.8605,36.2893
2023,ALTINTOP-DOGANSEHIR (MALATYA) [North West  2.6 km],3.7,38.073,37.86
2023,CAGLAYAN-GOKSUN (KAHRAMANMARAS) [North 0.9 km],3.7,38.0503,36.4608
